number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,1180222550156,1001424153307511103937,0,712432877937673,2302457180693885351454651093163492,205553,31203981017892687890,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16222093,1057280189309,1105989426592146490342,544846846,518999057647869969,2318747899162385489001287554456344,205694,17540821031132433136,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16224493,1349281137983,860012366495512119853,1174904771,924191193997251499,2280425969616657314568929983238151,205361,30523448134936311091,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16226893,1461660991380,767498331111399726763,1636601109,1258290866356144448,2266012770497242894086255374140612,205234,20905059435363221456,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16229293,1427027044656,795884990938196439496,1977061940,1552432694007231354,2270435262486917424056195007509857,205273,22227312718227892744,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16231693,1385944733138,829700857650767892687,2159015876,1719662675277174196,2275703596294866001551435142483199,205319,22737464002634911280,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16234093,1407622962864,811837437972383213658,2460809182,1959143886687696064,2272920569657780836424575412085603,205295,46555465465107464655,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16236493,1385716932826,829888803235258189097,2613733508,2093086797017347647,2275732877226366029629403759490668,205319,29001499457139979699,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16238893,1393443301338,823516897666078498724,2712745321,2171515373230578495,2274740167921692629443616837354464,205311,31485966568595190915,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16241293,1194107399672,989707038788045806205,2997137994,2491030203665779862,2300631716006577619818717260285935,205537,22618611010766339865,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16243693,1423986440260,798382421471852101974,3466251051,2783953258715109576,2270824349001401756389526076262986,205276,22381477162560579800,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16246093,1460061856220,768806578185033372287,3663282091,2930437114113738306,2266216588496224172254804411624938,205236,22728336445874518659,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16248493,1432130786986,791694904970520864099,4295153182,3456969442388518628,2269782469176920445513960727061014,205267,24520173141659983885,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16250893,1443590366309,782295557529136646735,4391773823,3531516174140920209,2268318100384631286503934121351000,205254,24021694853194625550,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16253293,1443836011515,782094207806150731299,4440478116,3571414419500610071,2268286731158999893110011846751513,205254,25077936307355277000,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16255693,1431453408165,792250882826041884711,4465640121,3597144634960292454,2269869087596540109532934287558589,205268,29040769306209328916,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16258093,1449314737643,777604868868387393714,4555461691,3663324061273731312,2267587315813470219639532896775164,205248,52934674799180299526,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16260493,1441958885037,783632986522332900400,4725483102,3806253313342499635,2268526464772877677599875107247126,205256,33919981157358144666,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16262893,1380676530206,834048601675960243045,4929463714,4000087890451560107,2276380951899290357379858535471998,205325,49644562439988786256,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16265293,1423517005404,798768072719771963625,5146401971,4161474869577008053,2270884431433260243759806907927190,205277,26634674985542752592,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16267693,1436241200788,788322076160496067136,5223881970,4219749222109539343,2269257000224747449767003218337749,205262,40454737982949317533,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16270093,1415749815416,805151956797308820634,5295487293,4286984567835608856,2271879006926403194390768592727484,205285,27835644005111215114,-1,508541994704687727,204150,206950,1181909004694,1000000000000000000000
16272493,1280858800451,919398306320313490443,166117276,103905925615499319,2261906885359996220194928071595333,205197,29663399384497135108,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16274893,1224791743388,965240637717690698744,232076510,180779784299963944,2269046418772473712656074338185071,205261,30471760488793203094,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16277293,1170329803091,1010048509935517446979,666162242,561418078195663286,2276024844412917884940926155388337,205322,30145442851259332519,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16279693,1156030437000,1021858851146064530579,922950183,779846517696201008,2277864199504929741569984152946834,205338,30318983097693550206,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16282093,1047081489382,1112474229051055585149,1230606991,1082563519765795395,2291976734764730524647172976596684,205462,44527166884556337562,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16284493,1030692545747,1126202541188613658343,1561302499,1365976871747420528,2294114796687310314301475091637603,205480,28481803172235453393,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16286893,1017173641806,1137546037099893348463,1844365909,1609294875670920648,2295881444796256987966137647897260,205496,29388705238004048072,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16289293,1021688500011,1133755749310131277678,1943269901,1690361624619743596,2295291141347609522084232124270962,205491,30354505090207648262,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16291693,1091285540000,1075573666534874201362,2186981739,1861137506084956801,2286229801941009335625930386336055,205411,32016602782266760500,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16294093,1090480931762,1076243682101211364312,2389631926,2030317441559218496,2286334150877394754501952976104435,205412,33278324098993428204,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16296493,1012438101621,1141523685965032700553,2471411540,2131517228145386253,2296500928057908692686916531695235,205501,25828375606727121241,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16298893,1039779170924,1118587904663237589808,2646050037,2266708020990433433,2292928885102108861005253506423459,205470,43372356658723235500,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16301293,1067209273485,1095649022568485165491,2749042958,2341267534983132565,2289356359225518373773655147672726,205439,42378188684941587599,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16303693,1053936719959,1106739484982452819041,2789317404,2380513738079358419,2291083599628672870449027371380194,205454,42924927665178825051,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16306093,1101707631460,1066900477619763141438,2907255403,2458825718863524380,2284879030281614464207204238742434,205400,32732084478922653996,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16308493,1038639576824,1119542458334490674045,3027874028,2585902519834252666,2293077548305357384347525269683844,205471,32827833995623133669,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16310893,1041505441165,1117142171516592062061,3100114853,2645231627666226977,2292703725085343384815392822002991,205468,34870475237079230830,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16313293,1063577656467,1098681916836992286506,3172391017,2696071929926243243,2289828705402217339385757988142539,205443,32041391121869838731,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16315693,1056817408525,1104330978028712393900,3274942389,2784270389132607831,2290708496195966610536749903451587,205451,41613998803762160219,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16318093,1211668484557,976012486920995939145,3564952947,2945345949493251055,2270724038015581554839051795576336,205275,34074887299631720643,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16320493,1209522042390,977775848039394500431,3667271139,3027952574638713989,2270998665750238839289948174036779,205278,55631433194615930602,-1,508717232926825244,203890,206690,1202644948199,988891537448083001512
16322893,1184746195023,1001776739907617547113,88418489,80357549460584668,2273391323993903897393796352854416,205299,41565434968958756401,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16325293,1199160827205,989917947190881215786,153932029,128334697159661549,2271547811269663749874999379747656,205283,44067805984421317765,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16327693,1141318751782,1037620755331632390126,282794198,258368713889147206,2278963467811610924559834796119597,205348,34868252751847604933,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16330093,1231574728791,963321434112332136869,416717177,331659503227186072,2267413241128174794655584358099024,205246,34396560796066577294,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16332493,1445252357777,790387083762525324148,816018444,566197955080673677,2240529671869211346969474070439831,205008,46349079997479247951,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16334893,1466668596258,773280249664781601275,1080449913,769435738355460228,2237870323056566360458514750250784,204984,37964978180838903183,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16337293,1465799039264,773974042242045695320,1437616244,1053544062526453718,2237978176821677259706955399236465,204985,79169642553445467750,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16339693,1434913980422,798659717904365801268,1497760264,1113953659725391271,2241815697071586547358239406896202,205019,46861947663853502041,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16342093,1427403169032,804675729125222601535,1649674277,1238647888753799313,2242750918177118550237177512722154,205027,35155260973602343653,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16344493,1475874785136,765939016527727120048,1739468391,1290948293223233765,2236729089119601320024213576702796,204974,43247063135581770939,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16346893,1422971162857,808228033717973045097,1798564869,1359425309698027828,2243303142916477552759593610578234,205032,36646409065359817286,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16349293,1534939370442,719017055206719267707,2107912753,1561864371919784431,2229434819390145411590537743417659,204908,74873772286591348812,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16351693,1580723138630,682855635222163064962,2327006646,1710205105335005711,2223813333336675713498950841213879,204858,44451717998562266146,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16354093,1544929365790,711111066368899182620,2390872862,1774911140216183004,2228205791160344878925813885709975,204897,45748563285637862160,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16356493,1533229047029,720371463629880328689,2428620684,1809422968988737463,2229645369420115293345991458633752,204910,42593397269086402541,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16358893,1517929499833,732498594072571611799,2478308972,1854846288688435804,2231530596678373180380655683492070,204927,48015067637041990911,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16361293,1535532471810,718547436815955775660,2512467346,1874926064319910682,2229361814700748332519875387727522,204908,54394367611444108764,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16363693,1544997076910,711057510163034480317,2761855823,2068852640182559559,2228197465561834816132298399780451,204897,36674822253189956517,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16366093,1765917115676,538425680907805711951,3401499449,2479050726682391835,2201360924824283889381345052573558,204655,32297721334918104238,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16368493,1916821444400,422876537558855096754,4134548600,2979315327109394792,2183398192771618103590543961080665,204491,29233126918046076615,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16370893,2089569578484,292894847061207931309,4763236838,3386898280491200860,2163191844109120860013032082947479,204305,30966642994153650753,-1,509652222211713161,203880,206680,1203459181278,988794301602659684984
16373293,1128475073063,1010307988261025290059,276709539,252358852499243617,2177047913533895727235566349617181,204433,33759706583917368672,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
16375693,1167166940939,981155434202349180223,422830303,348076183053169110,2172441514708662258572422703353044,204390,36269417202432978765,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
16378093,1187214826078,966098737079029530948,701941326,550160686087099739,2170062404055058501541495858698275,204368,31611291942424303057,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
16380493,1211135848400,948176265919146521583,966654419,738852972058346992,2167230472076474427397190488652817,204342,45194580980919995608,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
16382893,1205142726727,952662130313165643641,1124621247,859590672941248729,2167939284087702534485571580682780,204349,40081754249823178950,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
16385293,1234214261675,930929386431412052059,1383820748,1043310336420709813,2164505290425105555554030659647570,204317,30692586226996123576,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
16387693,1662020060962,618898316580287469943,2429919328,1646335534278322001,2115201220850083357671038192421691,203856,21310981648471689949,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
16390093,1634445306259,638581438050995423834,2747890587,1883465984534831502,2118311353411268436104058557011698,203886,46507617161263046067,-1,501411922479292328,202910,205710,1245358050602,928378637624228055434
