number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
18648491,28354382561812163492150,99999999999999999999,0,0,4705106806636024133107504816,-56477,134277252253244812363549,2440808540949895184331901495783384173933,4345393370145094858923975689647192844,-1,1683875962231546421876,-887200,887200,28354382561812163492150,100000000000000000000,0,0
18650891,27670565217772438242634,102471280722522134856,0,24962431540627625,4821383204122497016787556541,-55989,158701016739052850747715,2440808540949895184331901495783384173933,4350437848170358471472936883142681353,-1,1683875962231546421876,-887200,887200,28354382561812163492150,100000000000000000000,0,0
18653291,26997878838467532133771,105024482595320921667,455810514909846581,52486804659631896,4941514079226711177658045696,-55496,109796199940500032224973,2440900652414373496200872860962647482514,4356000050519596543804946890812405822,-1,1683875962231546421876,-887200,887200,28354382561812163492150,100000000000000000000,0,0
18655691,26852022055098777304429,105594962284890986531,455810514909846581,58249225766400228,4968355757931148360213776974,-55388,86961756806748576574666,2440900652414373496200872860962647482514,4357164536703488436236153854820895020,-1,1683875962231546421876,-887200,887200,28354382561812163492150,100000000000000000000,0,0
18658091,26767352767363960669172,105988932295361729270,2626689024126404896,13929959922502268,4985481753149497923361074352,-55319,86807854606468260537735,2441431310925843818006174433134711381552,4359978745667480575457377519003776651,-1,1684352439421810037013,-887200,887200,26859620225218596831232,105624841915020529472,455810514909846581,58249225766400228
18660491,26050007623368153977380,108907574278067899029,5086859667417156263,53475678066103212,5122768128562815047312090821,-54776,62200900025075660870662,2441928328456103551070459965344677724937,4367967994387963405867359071652731032,-1,1684352439421810037013,-887200,887200,26859620225218596831232,105624841915020529472,455810514909846581,58249225766400228
18662891,26385368442507902941313,107523347508599130577,14559625997532674710,79043806746104710,5057657204696006515144991525,-55032,112634127277226325296295,2443842070065435138899859407938442233622,4373133411756288429341765573894314565,-1,1684352439421810037013,-887200,887200,26859620225218596831232,105624841915020529472,455810514909846581,58249225766400228
18665291,27129957644724594956591,104706864980411896644,8419982927078068283,4279889140873488,4922011274515521510551887309,-55576,133565533121124897146222,2445542029349685009440448685093091556428,4373997503446687248959994205118174606,-1,1685435496253259676916,-887200,887200,26402334519721400991744,107592486183697019945,15015436512442521291,137293032512504938
18667691,27006192841229328109997,105186718791909608601,13951703661817979975,30055587120834380,4944568017769679944698315635,-55484,137724196509984742987648,2446658860595346683589855017816122187571,4379201508902344497044593709968521344,-1,1685435496253259676916,-887200,887200,26402334519721400991744,107592486183697019945,15015436512442521291,137293032512504938
18670091,27106609541465237078129,104797053563081618187,16003601550504999793,34076287351215186,4926250817174123591782628411,-55558,137724196509984742987648,2447073130184301381648322271486703843924,4380013271437377731279938902314703809,-1,1685435496253259676916,-887200,887200,26402334519721400991744,107592486183697019945,15015436512442521291,137293032512504938
18672491,26368256738611305670765,107830050689334246177,276664500586328802,31264530022481272,5066508541079345576968165474,-54997,105535038536159397056626,2447128962066432501634904069892540951790,4386322565009197447720268131022095237,-1,1686205936626317421824,-887200,887200,27119000419914093690880,104844958025294487596,31019038062947521084,171369319863720124
18674891,25987302543970665478696,109410757653780055795,3475711938965820891,60865940437232777,5140779723232285601583378396,-54706,79793682385720298412474,2447774541239521002210144573326379140894,4392296235117537255790158692927605106,-1,1686205936626317421824,-887200,887200,27119000419914093690880,104844958025294487596,31019038062947521084,171369319863720124
18677291,26738488477922150674811,106336992947882170337,12273347839727963188,65789521295680767,4996355650015743276616876009,-55276,94270631062568967636987,2449549935515269776413897042352328730073,4393289831280287925500602623170305115,-1,1686205936626317421824,-887200,887200,27119000419914093690880,104844958025294487596,31019038062947521084,171369319863720124
18679691,27107292817497713655734,105003227624515408341,9799163770854184083,24034798072807933,4931032155135306415771146511,-55539,94730437125287205240682,2451526377464380240265218277451048551620,4398137528926773540566247305534082858,-1,1687113878195572204403,-887200,887200,26752885880197176360960,106394250352894103763,43292385902675484272,237158841159400891
18682091,27102198636663927614606,105022964231010752149,11211558629571981150,29705462492519250,4931959001323404643823834833,-55535,114953674900685773358727,2451811250389535410636730757819359075020,4399281273362577436035611132101121092,-1,1687113878195572204403,-887200,887200,26752885880197176360960,106394250352894103763,43292385902675484272,237158841159400891
18684491,27003035670174729799059,105408638968097397311,11345996463973826335,34121892972682074,4950070582967334889629979692,-55462,114953674900685773358727,2451838365823226770516455672561279478838,4400172045133561215689342419005072508,-1,1687113878195572204403,-887200,887200,26752885880197176360960,106394250352894103763,43292385902675484272,237158841159400891
18686891,26831565813290038343967,106161140160941306860,808512336602718542,10352031195124459,4983556220958919332440191043,-55327,114953674918277959403143,2452001378095060292007935872996281302445,4402259221849131752942164524178333977,-1,1687740981028251529975,-887200,887200,27013072740214019981312,105447819521905937342,54638382366649310607,271280734132082965
18689291,26653467432450776404810,106870508546823214125,8605297453930098032,49452026356837464,5016856327071702254628775254,-55194,115906767013861617833507,2453573366050511672097589232057606469488,4410142563576201083964430759347722545,-1,1687740981028251529975,-887200,887200,27013072740214019981312,105447819521905937342,54638382366649310607,271280734132082965
18691691,26616863559297722269791,107017478325209586795,8884360890386478255,52054734435979919,5023755576196758627194559729,-55166,115906767013861617833507,2453629630825584333798031660806193454790,4410667321625884312290174126928843656,-1,1687740981028251529975,-887200,887200,27013072740214019981312,105447819521905937342,54638382366649310607,271280734132082965
18694091,26711046915601934753074,106727536658619507561,1348504335806156821,2023581546174273,5008092843660062515554660038,-55229,121594274016901408259912,2453901404943103733851442596706977231813,4411075149079113287891293435439037232,-1,1688432479809308519538,-887200,887200,26627768981938820349952,107061325370843684105,63522743257035788862,323335468568062884
18696491,26741125601463816228077,106607488456617444981,1888183322442471338,2966791555452630,5002459690678523779811093853,-55251,122173763651163101203427,2454010170466834264835395330026329193750,4411265241213858888435299355498323144,-1,1688432479809308519538,-887200,887200,26627768981938820349952,107061325370843684105,63522743257035788862,323335468568062884
18698891,27223272278097237488260,104719381628807891885,6758351773285110330,2966791555452630,4913861990511750032625158355,-55609,122335703615578354660561,2454991691769921007806706387965279081720,4411265241213858888435299355498323144,-1,1688432479809308519538,-887200,887200,26627768981938820349952,107061325370843684105,63522743257035788862,323335468568062884
18701291,28075302958751169089012,101569327962293190810,9011147130672660677,1656827785375413,4765392176712292554739997174,-56222,68725552005897406229774,2456807525213510442472836763130938854412,4411599108063364908570527837956243678,-1,1688665050819178253823,-887200,887200,27227022113522338234368,104733806068416573524,70281095030320899192,326302260123515514
18703691,28164933444786021919027,101246099496323603616,16518526319852321687,25439896270182709,4750227063051266714909028702,-56286,47937265441572300443114,2458320334848924990874316959932522625909,4416391626764884240023825047910128767,-1,1688665050819178253823,-887200,887200,27227022113522338234368,104733806068416573524,70281095030320899192,326302260123515514
18706091,27956227805413418397693,102001946532498875189,17742425621966295541,37508564780023748,4785689614839715999545343474,-56137,75240327502943125273642,2458566962414998082650817274142802868830,4418823580386545741621771194530056821,-1,1688665050819178253823,-887200,887200,27227022113522338234368,104733806068416573524,70281095030320899192,326302260123515514
18708491,28606877161920783572758,99781772930078910422,12302826956037630938,20653844286258241,4679182308200314188268470444,-56587,47521226127116496948084,2461044860995228577611392941470066766864,4422983448002021327299008577374697190,-1,1689510260758850748835,-887200,887200,27970220445105595088896,102053000505004191265,88023520652287194733,363810824903539262
18710891,29347746280949268109663,97262832174011535204,21825954859169923393,27556565357372145,4561058700299956307181518358,-57099,47511192224433967433056,2462962903506502336949234487008294546567,4424373717311909192642155689137951765,-1,1689510260758850748835,-887200,887200,27970220445105595088896,102053000505004191265,88023520652287194733,363810824903539262
18713291,29998545077755663596575,95152778703459531073,33962668789312190139,45808801668576809,4462109517710444242498677423,-57538,35521816594641831828822,2465407345448474426142160374922303395168,4428049879758408548709600983855025627,-1,1689510260758850748835,-887200,887200,27970220445105595088896,102053000505004191265,88023520652287194733,363810824903539262
18715691,28621226660465747024435,99892410052885930271,8369592408120014227,73721045185377462,4680601935490435651775539926,-56581,41841587942860259193921,2467091699504149708715033323266962252358,4442886007420508524535086862830901454,-1,1690870577478901959034,-887200,887200,30022698540089863045120,95229391387523083977,121986189441599384872,409619626572116071
18718091,29084877074670326245472,98299996332930773406,15188531526333838521,81132076821048377,4605987110041960063519155701,-56903,41841587942860259193921,2468463989479468372492833346157429157770,4444377454146178171153270365250505971,-1,1690870577478901959034,-887200,887200,30022698540089863045120,95229391387523083977,121986189441599384872,409619626572116071
