number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper
16219693,540050347,491713838993380773,0,0,2302457180693885351454651093163492,205553,31203981017892687890,1,3632181180606829,205460,205640
16222093,0,949791207040630288,0,0,2318747899162385489001287554456344,205694,17540821031132433136,1,3632181180606829,205460,205640
16224493,1124997054,0,0,0,2280425969616657314568929983238151,205361,30523448134936311091,1,3632181180606829,205460,205640
16226893,1124997054,0,0,0,2266012770497242894086255374140612,205234,20905059435363221456,1,3632181180606829,205460,205640
16229293,1124997054,0,0,0,2270435262486917424056195007509857,205273,22227312718227892744,1,3632181180606829,205460,205640
16231693,1124997054,0,0,0,2275703596294866001551435142483199,205319,22737464002634911280,1,3632181180606829,205460,205640
16234093,1124997054,0,0,0,2272920569657780836424575412085603,205295,46555465465107464655,1,3632181180606829,205460,205640
16236493,1124997054,0,0,0,2275732877226366029629403759490668,205319,29001499457139979699,1,3632181180606829,205460,205640
16238893,1124997054,0,0,0,2274740167921692629443616837354464,205311,31485966568595190915,1,3632181180606829,205460,205640
16241293,639220700,408026192168203883,0,0,2300631716006577619818717260285935,205537,22618611010766339865,1,3632181180606829,205460,205640
16243693,1124997054,0,0,0,2270824349001401756389526076262986,205276,22381477162560579800,1,3632181180606829,205460,205640
16246093,1124997054,0,0,0,2266216588496224172254804411624938,205236,22728336445874518659,1,3632181180606829,205460,205640
16248493,1124997054,0,0,0,2269782469176920445513960727061014,205267,24520173141659983885,1,3632181180606829,205460,205640
16250893,1124997054,0,0,0,2268318100384631286503934121351000,205254,24021694853194625550,1,3632181180606829,205460,205640
16253293,1124997054,0,0,0,2268286731158999893110011846751513,205254,25077936307355277000,1,3632181180606829,205460,205640
16255693,1124997054,0,0,0,2269869087596540109532934287558589,205268,29040769306209328916,1,3632181180606829,205460,205640
16258093,1124997054,0,0,0,2267587315813470219639532896775164,205248,52934674799180299526,1,3632181180606829,205460,205640
16260493,1124997054,0,0,0,2268526464772877677599875107247126,205256,33919981157358144666,1,3632181180606829,205460,205640
16262893,1124997054,0,0,0,2276380951899290357379858535471998,205325,49644562439988786256,1,3632181180606829,205460,205640
16265293,1124997054,0,0,0,2270884431433260243759806907927190,205277,26634674985542752592,1,3632181180606829,205460,205640
16267693,1124997054,0,0,0,2269257000224747449767003218337749,205262,40454737982949317533,1,3632181180606829,205460,205640
16270093,1124997054,0,0,0,2271879006926403194390768592727484,205285,27835644005111215114,1,3632181180606829,205460,205640
16272493,1126656289,0,0,0,2261906885359996220194928071595333,205197,29663399384497135108,2,3590558589378691,205200,205380
16274893,743518456,313297869412072574,0,0,2269046418772473712656074338185071,205261,30471760488793203094,2,3590558589378691,205200,205380
16277293,359122617,629554681743497294,0,0,2276024844412917884940926155388337,205322,30145442851259332519,2,3590558589378691,205200,205380
16279693,258196781,712912821260510019,0,0,2277864199504929741569984152946834,205338,30318983097693550206,2,3590558589378691,205200,205380
16282093,0,926780980475408129,0,0,2291976734764730524647172976596684,205462,44527166884556337562,2,3590558589378691,205200,205380
