number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper
16219693,46160682299,42029130081944100376,147843554253,134778556228925265153,2302457180693885351454651093163492,205553,31203981017892687890,1,310459871606275288,205460,205640
16222093,0,81183190355426871778,147936407720,134877062848801203299,2318747899162385489001287554456344,205694,17540821031132433136,1,310459871606275288,205460,205640
16224493,96158870901,0,148104109721,134977639859942898355,2280425969616657314568929983238151,205361,30523448134936311091,1,310459871606275288,205460,205640
16226893,96158870901,0,148104109721,134977639859942898355,2266012770497242894086255374140612,205234,20905059435363221456,1,310459871606275288,205460,205640
16229293,96158870901,0,148104109721,134977639859942898355,2270435262486917424056195007509857,205273,22227312718227892744,1,310459871606275288,205460,205640
16231693,96158870901,0,148104109721,134977639859942898355,2275703596294866001551435142483199,205319,22737464002634911280,1,310459871606275288,205460,205640
16234093,96158870901,0,148104109721,134977639859942898355,2272920569657780836424575412085603,205295,46555465465107464655,1,310459871606275288,205460,205640
16236493,96158870901,0,148104109721,134977639859942898355,2275732877226366029629403759490668,205319,29001499457139979699,1,310459871606275288,205460,205640
16238893,96158870901,0,148104109721,134977639859942898355,2274740167921692629443616837354464,205311,31485966568595190915,1,310459871606275288,205460,205640
16241293,54637245971,34875947243186323870,148166467073,135047611250174843745,2300631716006577619818717260285935,205537,22618611010766339865,1,310459871606275288,205460,205640
16243693,96158870901,0,148260719548,135109514271064791667,2270824349001401756389526076262986,205276,22381477162560579800,1,310459871606275288,205460,205640
16246093,96158870901,0,148260719548,135109514271064791667,2266216588496224172254804411624938,205236,22728336445874518659,1,310459871606275288,205460,205640
16248493,96158870901,0,148260719548,135109514271064791667,2269782469176920445513960727061014,205267,24520173141659983885,1,310459871606275288,205460,205640
16250893,96158870901,0,148260719548,135109514271064791667,2268318100384631286503934121351000,205254,24021694853194625550,1,310459871606275288,205460,205640
16253293,96158870901,0,148260719548,135109514271064791667,2268286731158999893110011846751513,205254,25077936307355277000,1,310459871606275288,205460,205640
16255693,96158870901,0,148260719548,135109514271064791667,2269869087596540109532934287558589,205268,29040769306209328916,1,310459871606275288,205460,205640
16258093,96158870901,0,148260719548,135109514271064791667,2267587315813470219639532896775164,205248,52934674799180299526,1,310459871606275288,205460,205640
16260493,96158870901,0,148260719548,135109514271064791667,2268526464772877677599875107247126,205256,33919981157358144666,1,310459871606275288,205460,205640
16262893,96158870901,0,148260719548,135109514271064791667,2276380951899290357379858535471998,205325,49644562439988786256,1,310459871606275288,205460,205640
16265293,96158870901,0,148260719548,135109514271064791667,2270884431433260243759806907927190,205277,26634674985542752592,1,310459871606275288,205460,205640
16267693,96158870901,0,148260719548,135109514271064791667,2269257000224747449767003218337749,205262,40454737982949317533,1,310459871606275288,205460,205640
16270093,96158870901,0,148260719548,135109514271064791667,2271879006926403194390768592727484,205285,27835644005111215114,1,310459871606275288,205460,205640
